"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""force phantom thickness""","power spectral density (PSD)","5"
"""observational dissemination""","empirical distribution","5"
"""squared bumble""","squared error","5"
"""planar winding inductor""","planar spiral inductor","5"
"""wipes out the clamor""","removes noise","5"
"""random hunt"" AND ""random search""","random search","5"
"""production 4.zero""","construction 4.0","5"
"""fragmentary differential equations""","Partial Differential Equation (PDE)","5"
"""Sustainable power (RE)""","renewable energy (RE)","5"
"""HTTPS mocking""","HTTPS spoofing","4"
"""straight and non-direct issues""","linear and non-linear problems","4"
"""penmanship investigation""","handwriting analysis","4"
"""basic controllers"" AND ""key regulators""","key regulators","4"
"""round ride Time""","round trip time","4"
"""unearthing into""","digging into","4"
"""bolster vector classifier (SVC)""","support vector classifier (SVC)","4"
"""permeable middling""","porous medium","4"
"""cushioned rule""","fuzzy logic","4"
"""actual fantastic charge""","true positive rate (TPR)","4"
"""Swanepoel strategy""","Swanepoel method","4"
"""engineered minority over-testing strategy""","Synthetic Minority Over-sampling TEchnique (SMOTE)","4"
"""dormant dirichlet allocation""","Latent Dirichlet Allocation (LDA)","4"
"""dim social evaluation""","grey relational analysis","4"
"""low-fat eating routine""","low-fat diet","4"
"""general nicely-being""","overall well-being","4"
"""slightest created nations""","least developed countries","4"
"""low atomic weight heparin""","Low molecular weight heparin","4"
"""constitutional residences""","???","4"
"""carb esterase""","carbohydrate esterases","4"
"""LSTM brain network""","LSTM neural network","4"
"""downguideline""","down-regulation","4"
"""COVID-19 terrible""","COVID-19 negative","4"
"""acoustic sign highlights""","acoustic signal features","4"
"""unusual timberland""","random forest","4"
"""genuine high-quality charge""","true positive rate","4"
"""semi-regulated methodologies""","semi-supervised [machine learning] methods","4"
"""detainee’s difficulty""","Prisoner's Dilemma","4"
"""Lobatto IIIa relation""","Lobatto IIIa formula","4"
"""directly detachable"" AND ""linearly separable""","linearly separable","4"
"""World Exchange Association (WTO)""","World Trade Organization (WTO)","4"
"""antiseptic susceptibility test""","antimicrobial susceptibility testing","4"
"""lipoteichoic corrosive""","lipoteichoic acid","4"
"""reinforce vector machines (SVM)""","support vector machine","4"
"""hard crown"" AND ""hard corona""","hard corona","4"
"""straightforward structures"" AND ""clear designs""","clear designs","4"
"""speaker acknowledgement framework""","speaker recognition system","4"
"""commonsense esteem""","practical value","4"
"""like manner coupling (PCC)""","??? (found in 10.1109/icerect56837.2022.10060600)","4"
"""genuine advantageous fee""","true positive rate","4"
"""between channel obstructions""","interchannel interference (ICI)","4"
"""hack noises""","cough sounds","4"
"""humanoid wealth""","human capital","4"
"""strange white platelets""","abnormal white blood cells","4"
"""order and relapse investigation""","classification and regression analysis","4"
"""slithering frame""","sliding window (in signal processing)","4"
"""insertion misfortune""","insertion loss","4"
"""profound RNN""","deep RNN","4"
"""nearby anomaly factor""","local outlier factor (LOF)","4"
"""managed AI computation""","supervised machine learning algorithm","4"
"""mean squared goof""","mean spared error","4"
"""manual vector machines""","support vector machines","4"
"""autoregressive shifting common""","autoregressive moving average","4"
"""outward appearance acknowledgement""","face recognition","4"
"""Arnold's feline guide""","Arnold's cat map","4"
"""independent aspect analysis""","independent component analysis (ICA)","4"
"""choice wilderness""","decision jungle (algorithm)","4"
"""uncooked ECG""","raw ECG","4"
"""mind brokenness""","brain damage","4"
"""autonomous segment examination""","independent component analysis (ICA)","4"
"""Made Bits of information""","artificial intelligence","4"
"""binary-esteemed""","binary-valued","4"
"""COSFIRE channel""","COSFIRE filter","4"
"""structural health observance""","structural health monitoring","4"
"""various information numerous yield""","Multiple-input multiple-output (MIMO)","4"
"""decidedly charged deposits""","positively charged residues","4"
"""fluctuate cavity""","thoracic cavity","4"
"""secret (hidden) layers""","hidden layers","4"
"""self arranging guide""","self organizing map","4"
"""Security safeguarding validation""","Privacy-preserving authentication (PPA)","4"
"""newborn child demise""","(sudden) infant death syndrome (SIDS)","4"
"""savvy assembling""","smart manufacturing","4"
"""partial administrator"" AND (""Baleanu"" OR ""Riemann"")","fractional operator","4"
"""wavelet-parcel disintegration""","wavelet packet decomposition (WPD)","4"
"""relapse and expectation""","regression and prediction","4"
"""unbiased aspect evaluation""","independent component analysis (ICA)","4"
"""ill-disposed discourse""","hate speech","4"
"""butt-centric waterway""","anal canal","4"
"""touchy traffic""","sensitive traffic","4"
"""intra-molecule dispersion model""","Intraparticle diffusion model","4"
"""incorporation edifices""","inclusion complexes (ICs)","4"
"""deep switch gaining knowledge""","deep transfer learning","4"
"""handwritten textual content reputation""","handwritten text recognition","4"
"""crude organization traffic information""","raw network traffic data","4"
"""smoothing of the limestone""","Limestone neutralization/treatment","4"
"""kind II error""","type II error","4"
"""modulus work"" AND ""modulus function""","modulus function","4"
"""fashionable duties""","modelling tasks","4"
"""Recursive Element Elimination""","Recursive Feature Elimination (RFE)","4"
"""unsteadiness record""","instability index","4"
"""thoracic radiographic pictures""","chest X-ray images","4"
"""backing vector regression""","Support Vector Regression (SVR)","4"
"""artificial data (AI)""","Artificial Intelligence (AI)","4"
"""toxic emanation"" AND ""toxic emission""","toxic emission","4"
"""possessions of Hall""","Hall effects","4"
"""chest peril""","breast cancer","4"
"""liking chromatography""","affinity chromatography","4"
"""double-frequency index (BIS)""","Bispectral index (BIS)","4"
"""sustenance affirmation""","food recognition","4"
"""foremost component evaluation""","principal component analysis (PCA)","4"
"""COVID-19 trial casket""","COVID-19 test kit","4"
"""outrageous gradient boosting""","extreme gradient boosting","4"
"""reenactments apparatuses""","simulation tools","4"
"""break recognizable proof""","intrusion identification (?)","4"
"""political race measure""","political competition system","4"
"""profoundly association""","dense layer (in neural networks)","4"
"""feathery set""","fuzzy set","4"
"""unsuspecting Bayes""","naive Bayes","4"
"""off-target locales""","off-target sites","4"
"""sequential forward choice""","sequential forward selection (SFS)","4"
"""sparkle counter""","scintillation counter","4"
"""first-rate Tree""","Fine Tree","4"
"""real fine charge""","true positive rate","4"
"""self-managed learning"" AND ""self-supervised learning""","self-supervised learning (SSL)","4"
"""world financial discussion""","World Economic Forum","4"
"""remedy research"" AND ""therapy research""","therapy research","4"
"""chloroauric destructive""","chloroauric acid","4"
"""dynamic time traveling (DTW)""","dynamic time warping (DTW)","4"
"""Hey Greetings"" AND ""hear*""","hearing-impaired (HI)","4"
"""trivial influencer""","insignificant predictor","4"
"""alpha mistake edge""","significance level","4"
"""term recurrence reverse report recurrence""","term frequency-inverse document frequency (TF-IDF)","4"
"""canny meter""","smart meter","4"
"""keyless passage""","keyless entry","4"
"""down-testing"" AND ""up-inspecting""","downsampling, upsampling","4"
"""non-negative framework factorization""","Non-negative matrix factorization (NMF)","4"
"""protein transduction area""","protein transduction domain","4"
"""preserved at 9.5""","kept at 9.5","4"
"""shading co-event techniques""","color co-occurrence techniques","4"
"""oddity recognition"" AND ""anomaly recognition""","anomaly recognition","4"
"""valproic corrosive""","valproic acid","4"
"""low pay levels"" AND ""low income levels""","low income levels","4"
"""directed learning and unaided learning""","supervised [machine] learning and unsupervised [machine] learning","4"
"""dimension reduction branche""","dimensionality reduction pipeline","4"
"""fake cognizance""","artificial intelligence","4"
"""mid hole states""","midgap states","4"
"""breast cancer revelation""","breast cancer diagnosis","4"
"""ARP ridiculing""","ARP spoofing","4"
"""bitcoin cryptocurrency trade""","???","4"
"""phones of the body""","body cells","4"
"""cells were civilized""","cells were cultivated","4"
"""power range thickness""","power spectrum density","4"
"""international common pooling""","global average pooling layer","4"
"""phthalic corrosive""","phthalic acid","4"
"""tyke hubs""","child nodes","4"
"""cross-endorsement method""","cross-validation method","4"
"""tall immaculateness""","high purity","4"
"""retention spectrometer""","[atomic] absorption spectrometer","4"
"""trusting Bayes""","naive Bayes","4"
"""non-parametric relapse""","non-parametric regression","4"
"""unremitting ailment""","chronic disease","4"
"""clustered frequently interspaced brief""","clustered regularly interspaced short palindromic repeats (CRISPR)","4"
"""qualities in their genome""","genes in their genome","4"
"""ground vicinity"" AND ""surface area""","surface area","4"
"""middle misfortune""","center loss","4"
"""mechanized picture dealing""","digital image processing","4"
"""back-proliferation brain organization""","back-propagation neural network (BPNN)","4"
"""programmed discourse acknowledgement""","automatic speech recognition (ASR)","4"
"""movement encryption key""","group traffic encryption key (GTEK)","4"
"""abdicate expectation""","yield prediction","4"
"""assistance vector maker""","Support Vector Machine (SVM)","4"
"""sensor hub asset""","resource sensor?","4"
"""exceptional of carrier""","quality of service (QoS)","4"
"""Collaborative Scholarly Group""","Integrated Knowledge Network ?","4"
"""unmistakable insights"" AND ""descriptive statistics""","descriptive statistics","4"
"""contrast-restricted versatile histogram balance""","contrast-limited adaptive histogram equalization (CLAHE)","4"
